date,index_price,correlation,high_threshold,low_threshold,market_state,position_size,strategy_cumulative,optimized_position,optimized_state,optimized_cumulative,ma20,price_trend
2025-05-29,584.9557495117188,0.859279254366238,0.8557179148989229,0.7057179148989229,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8942639295885868,574.0933654785156,upward
2025-05-30,584.301513671875,0.8609775498417802,0.8572667284534466,0.7072667284534466,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8937342761259555,575.6260223388672,upward
2025-06-02,587.5928344726562,0.863078320136747,0.8581453452644133,0.7081453452644133,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8964010872107826,576.9123229980469,upward
2025-06-03,590.9436645507812,0.8640043105013165,0.8584849968128219,0.7084849968128218,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8991047101237977,578.5272644042968,upward
2025-06-04,590.7849731445312,0.8673702944708752,0.8589182921313199,0.7089182921313198,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.898977214215497,580.3677368164062,upward
2025-06-05,587.9298095703125,0.8677578353759742,0.8592867552069974,0.7092867552069974,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.8966828555161548,581.9489624023438,upward
2025-06-06,593.96728515625,0.8693311881470528,0.8595165914806266,0.7095165914806266,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.9015521342327815,583.6382507324219,upward
2025-06-09,594.5026245117188,0.8690860660094764,0.8611876268712769,0.7111876268712769,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.9019805987793021,585.3899963378906,upward
2025-06-10,597.8732299804688,0.8661526629188814,0.863170919173204,0.713170919173204,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.9046764767886581,586.3858215332032,upward
2025-06-11,596.1681518554688,0.8650896342199221,0.8641128428731771,0.7141128428731771,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.9033184873216098,587.1055511474609,upward
2025-06-12,598.5374755859375,0.8657846686800584,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.25,crisis_rebound,1.9052095551539887,587.9065704345703,upward
2025-06-13,591.8457641601562,0.8614985307247862,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.8998844447520664,588.230746459961,upward
2025-06-16,597.4766845703125,0.8611018694151799,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9089223552557206,588.6510864257813,upward
2025-06-17,592.3712158203125,0.859893133815129,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.900766435800936,588.7839324951171,upward
2025-06-18,592.281982421875,0.8590673128215986,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.9006232723215393,589.0114532470703,upward
2025-06-20,590.8909301757812,0.8597146094370615,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.8983913402770003,589.6646057128906,upward
2025-06-23,596.7274780273438,0.8575981069508724,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.907767056955561,590.5981872558593,upward
2025-06-24,603.3196411132812,0.8561251945378258,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.918304791543387,592.0586578369141,upward
2025-06-25,603.65771484375,0.8566275368598747,0.8651591376659358,0.7151591376659358,危機市場,0.0,1.85477701093693,0.5,transition,1.918842258263231,592.9392272949219,upward
