,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,ms_bullish,ms_bearish,ms_neutral,entry_signal,exit_signal,position_size,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2018-10-25,171.05999755859375,18.875,176.85100021362305,20.81281255086263,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76619.18918185591,63552.18691964745,140171.37610150335,140535.49175491848,-0.06319804299119104
2018-10-26,166.66000366210938,18.850000381469727,175.89450073242188,20.80322922070821,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74648.39548627977,63468.0131220445,138116.40860832427,140535.49175491848,-0.06319804299119104
2018-10-29,163.22999572753906,18.9375,174.74750061035155,20.793437560399372,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73112.0665339536,63762.624624679396,136874.691158633,140535.49175491848,-0.06319804299119104
2018-10-30,165.9199981689453,18.987499237060547,173.75600051879883,20.783645884195963,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74316.94089908483,63930.97221988531,138247.91311897014,140535.49175491848,-0.06319804299119104
2018-10-31,169.82000732421875,19.387500762939453,172.94950103759766,20.775208393732708,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76063.78728949538,65277.77866972904,141341.56595922442,140535.49175491848,-0.06319804299119104
2018-11-01,172.05999755859375,19.600000381469727,172.43350067138672,20.766666730244953,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,77067.09746126304,65993.26558242783,143060.36304369086,140535.49175491848,-0.06319804299119104
2018-11-02,169.3800048828125,19.662500381469727,171.89500122070314,20.760416730244955,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75866.70655303018,66203.70328745978,142070.40984048997,140535.49175491848,-0.06319804299119104
2018-11-05,168.9600067138672,19.5625,171.3905014038086,20.75312506357829,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75678.58589582374,65867.00167499884,141545.58757082256,140535.49175491848,-0.06319804299119104
2018-11-06,170.24000549316406,19.5,170.92100143432617,20.74645840326945,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76251.90794670182,65656.5639699669,141908.4719166687,140535.49175491848,-0.06319804299119104
2018-11-07,175.5800018310547,19.600000381469727,171.11350173950194,20.741145912806193,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,78643.73651844672,65993.26558242783,144637.00210087455,140535.49175491848,-0.06319804299119104
2018-11-08,174.4600067138672,19.712499618530273,171.35650177001952,20.734479236602784,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,78142.08143256289,66372.0508826657,144514.13231522858,140535.49175491848,-0.06319804299119104
2018-11-09,171.52000427246094,19.450000762939453,171.21650161743165,20.726250076293944,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,76825.2299975799,65488.21637476099,142313.4463723409,140535.49175491848,-0.06319804299119104
2018-11-12,166.3300018310547,19.5,170.92250137329103,20.71927091280619,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74500.58493393086,65656.5639699669,140157.14890389776,140535.49175491848,-0.06319804299119104
2018-11-13,166.47000122070312,19.274999618530273,170.385001373291,20.710000069936118,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74563.29181966634,64898.98694744208,139462.27876710842,140535.49175491848,-0.06319804299119104
2018-11-14,165.1999969482422,19.337499618530273,169.78050155639647,20.700625069936116,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73994.44639114867,65109.42465247402,139103.8710436227,140535.49175491848,-0.06319804299119104
2018-11-15,168.08999633789062,19.399999618530273,169.52600173950196,20.6910417397817,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75288.90104525373,65319.86235750597,140608.7634027597,140535.49175491848,-0.06319804299119104
2018-11-16,167.5,19.237499237060547,169.2500015258789,20.68083340326945,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75024.63680069264,64772.723040013094,139797.35984070573,140535.49175491848,-0.06319804299119104
2018-11-19,162.05999755859375,19.174999237060547,168.65750122070312,20.673125060399375,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72588.01466719183,64562.28533498115,137150.300002173,140535.49175491848,-0.06319804299119104
2018-11-20,159.16000366210938,19.0,167.95200119018554,20.66322922706604,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,71289.08339072636,63973.06232971134,135262.1457204377,140535.49175491848,-0.06319804299119104
2018-11-21,160.3699951171875,19.0,167.7035011291504,20.65208339691162,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,71831.04858146772,63973.06232971134,135804.11091117907,140535.49175491848,-0.06319804299119104
2018-11-23,159.2100067138672,18.837499618530273,167.11100158691406,20.62260422706604,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,71311.48017160431,63425.92301221846,134737.40318382278,140535.49175491848,-0.06319804299119104
2018-11-26,162.88999938964844,19.037500381469727,166.92250137329103,20.607708390553793,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72959.77935924429,64099.326237140325,137059.10559638462,140535.49175491848,-0.06319804299119104
2018-11-27,163.44000244140625,19.012500762939453,166.93300170898436,20.592291736602782,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73206.1302798258,64015.15243953737,137221.28271936317,140535.49175491848,-0.06319804299119104
2018-11-28,168.6999969482422,19.225000381469727,167.0720016479492,20.580520900090537,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75562.12536907359,64730.63935223616,140292.76472130977,140535.49175491848,-0.06319804299119104
2018-11-29,168.14999389648438,19.262500762939453,166.9885009765625,20.568854236602782,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75315.77444849208,64856.90325966515,140172.67770815722,140535.49175491848,-0.06319804299119104
2018-11-30,169.3699951171875,19.1875,166.8540008544922,20.556875069936115,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,75862.22309613181,64604.37544480718,140466.59854093898,140535.49175491848,-0.06319804299119104
2018-12-03,172.3300018310547,19.700000762939453,167.0015007019043,20.548125076293946,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,77188.03461037358,66329.96719488877,143518.00180526235,140535.49175491848,-0.06319804299119104
2018-12-04,165.72000122070312,19.5625,166.8395004272461,20.54083340962728,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74227.360610111,65867.00167499884,140094.36228510985,140535.49175491848,-0.06319804299119104
2018-12-06,166.88999938964844,18.774999618530273,166.6720001220703,20.518333419164023,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,74751.41247687278,63215.485307186515,137966.89778405929,140535.49175491848,-0.06319804299119104
2018-12-07,161.3800048828125,18.862499237060547,165.9620002746582,20.505729246139527,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72283.4403177732,63510.09680982142,135793.53712759464,140535.49175491848,-0.06319804299119104
2018-12-10,163.07000732421875,18.612499237060547,165.3925003051758,20.49156257311503,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73040.40640349731,62668.34598969364,135708.75239319095,140535.49175491848,-0.06319804299119104
2018-12-11,163.61000061035156,18.762500762939453,164.99700012207032,20.47885424296061,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73282.27386718045,63173.40161940959,136455.67548659004,140535.49175491848,-0.06319804299119104
2018-12-12,165.0500030517578,19.049999237060547,164.93300018310546,20.469062566757202,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73927.26288305278,64141.40992491726,138068.67280797003,140535.49175491848,-0.06319804299119104
2018-12-13,165.10000610351562,19.075000762939453,164.8645004272461,20.459895912806193,,True,False,False,False,False,False,False,0.0,131653.92370520296,131653.92370520296,0.0,0.0,73949.65966393074,64225.590144569316,138175.24980850006,140535.49175491848,-0.06319804299119104
2018-12-14,161.0800018310547,18.837499618530273,164.65850067138672,20.449375073115032,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,72149.06646704348,63425.92301221846,135574.98947926195,140535.49175491848,-0.06319804299119104
2018-12-17,157.42999267578125,18.987499237060547,164.12550048828126,20.440833393732706,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,70514.19714648472,63930.97221988531,134445.16936637,140535.49175491848,-0.06319804299119104
2018-12-18,158.4199981689453,18.825000762939453,163.6715003967285,20.428020906448364,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,70957.62880353144,63383.839324441535,134341.46812797297,140535.49175491848,-0.06319804299119104
2018-12-19,154.52999877929688,18.975000381469727,163.29500045776368,20.417291736602785,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,69215.26587001926,63888.88853210838,133104.15440212763,140535.49175491848,-0.06319804299119104
2018-12-20,152.2899932861328,18.762500762939453,162.95149993896484,20.404583406448364,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,68211.94886371364,63173.40161940959,131385.3504831232,140535.49175491848,-0.06319804299119104
2018-12-21,147.57000732421875,18.799999237060547,162.3115005493164,20.391666730244953,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,66097.82807268696,63299.659104789476,129397.48717747643,140535.49175491848,-0.06319804299119104
2018-12-24,143.5,18.674999237060547,161.52600021362304,20.379062557220458,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,64274.83809492175,62878.783694725586,127153.62178964734,140535.49175491848,-0.06319804299119104
2018-12-26,152.4600067138672,18.387500762939453,161.00450057983397,20.345937569936115,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,68288.09928560625,61910.77538921792,130198.87467482417,140535.49175491848,-0.06319804299119104
2018-12-27,153.0500030517578,18.762500762939453,160.48500061035156,20.330520915985108,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,68552.36353016735,63173.40161940959,131725.76514957694,140535.49175491848,-0.06319804299119104
2018-12-28,152.97000122070312,18.875,159.6985008239746,20.31760425567627,,False,False,False,False,False,False,True,0.0,131653.92370520296,131653.92370520296,0.0,0.0,68516.53004767023,63552.18691964745,132068.71696731768,140535.49175491848,-0.06319804299119104
