,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,market_score_bullish,entry_signal,exit_signal,position,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2020-07-08,259.989990234375,23.787500381469727,246.1755012512207,21.5903125445048,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59570.614237928305,53335.204473767626,112905.81871169593,100000.0,0.0
2020-07-09,262.17999267578125,23.862499237060547,246.9735008239746,21.58833336830139,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60072.40198175462,53503.36334855849,113575.76533031311,100000.0,0.0
2020-07-10,263.9700012207031,23.662500381469727,248.47100067138672,21.585312541325887,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60482.54049676441,53054.93540588295,113537.47590264736,100000.0,0.0
2020-07-13,258.5400085449219,24.012500762939453,249.6040008544922,21.586145877838135,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59238.3849094199,53839.689651273366,113078.07456069326,100000.0,0.0
2020-07-14,260.3699951171875,24.162500381469727,250.68500061035155,21.585520887374877,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59657.68345263979,54176.011677421666,113833.69513006145,100000.0,0.0
2020-07-15,260.8999938964844,24.262500762939453,251.5875,21.585000054041544,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59779.120254108966,54400.22778704273,114179.3480411517,100000.0,0.0
2020-07-16,259.1199951171875,24.024999618530273,252.3625,21.581041717529295,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59371.27524234568,53867.713992121884,113238.98923446756,100000.0,0.0
2020-07-17,259.4200134277344,24.299999237060547,253.11950073242187,21.578125047683717,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59440.01740824903,54484.30508615486,113924.3224944039,100000.0,0.0
2020-07-20,266.7799987792969,24.262500762939453,254.24650039672852,21.576979223887125,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61126.38559411453,54400.22778704273,115526.61338115725,100000.0,0.0
2020-07-21,264.0,24.674999237060547,255.1095001220703,21.579895877838133,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60489.41401411595,55325.112289808894,115814.52630392485,100000.0,0.0
2020-07-22,264.92999267578125,24.737499237060547,255.91399993896485,21.583333365122478,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60702.50004440166,55465.24682375123,116167.7468681529,100000.0,0.0
2020-07-23,258.010009765625,24.712499618530273,256.6290000915527,21.585729201634724,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59116.94810795072,55409.193865487614,114526.14197343832,100000.0,0.0
2020-07-24,255.55999755859375,24.625,257.1055000305176,21.598958365122478,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,58555.585218819084,55213.006373281656,113768.59159210074,100000.0,0.0
2020-07-27,260.1199951171875,25.825000762939453,258.1004997253418,21.626770877838133,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59600.40181058097,57903.59113560121,117503.99294618217,100000.0,0.0
2020-07-28,256.80999755859375,25.899999618530273,258.79899978637695,21.657083368301393,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,58841.993429113194,58071.75001039206,116913.74343950526,100000.0,0.0
2020-07-29,259.7699890136719,25.637500762939453,259.4074989318848,21.68197921117147,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59520.20611322102,57483.18753377419,117003.39364699522,100000.0,0.0
2020-07-30,261.1300048828125,26.012500762939453,259.9394989013672,21.70947922070821,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,59831.821882062744,58323.99473742822,118155.81661949097,100000.0,0.0
2020-07-31,265.7900085449219,25.950000762939453,260.61949920654297,21.733437554041544,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60899.55252912574,58183.860203485885,119083.41273261163,100000.0,0.0
2020-08-03,269.3800048828125,25.5,261.1689987182617,21.755937560399374,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61722.11607000387,57174.889848474406,118897.00591847827,100000.0,0.0
2020-08-04,270.3800048828125,25.825000762939453,261.85749969482424,21.781562566757202,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61951.24263823916,57903.59113560121,119854.83377384036,100000.0,0.0
2020-08-05,271.04998779296875,26.075000762939453,262.4104995727539,21.807708406448363,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62104.75352321955,58464.12927137056,120568.88279459011,100000.0,0.0
2020-08-06,274.6400146484375,26.350000381469727,263.0335006713867,21.834270906448364,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62927.324056485624,59080.72036540354,122008.04442188916,100000.0,0.0
2020-08-07,271.4700012207031,26.162500381469727,263.4085006713867,21.85895840326945,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62200.98975852907,58660.31676357652,120861.30652210559,100000.0,0.0
2020-08-10,270.30999755859375,26.399999618530273,263.9970001220703,21.88531257311503,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61935.20210028958,59192.82628193077,121128.02838222035,100000.0,0.0
2020-08-11,265.19000244140625,26.200000762939453,264.2380004882813,21.911354239781698,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60762.07518970698,58744.39833925524,119506.47352896222,100000.0,0.0
2020-08-12,271.8599853515625,25.8125,264.78600006103517,21.936770900090536,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62290.345484099096,57875.5625181861,120165.9080022852,100000.0,0.0
2020-08-13,272.4800109863281,26.0625,265.45400085449216,21.96208340326945,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62432.40983001085,58436.10065395546,120868.51048396631,100000.0,0.0
2020-08-14,272.1600036621094,26.125,266.09100036621095,21.988750076293947,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62359.08765000245,58576.2351878978,120935.32283790025,100000.0,0.0
2020-08-17,275.32000732421875,26.399999618530273,266.518000793457,22.018645906448363,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63083.128444712514,59192.82628193077,122275.95472664328,100000.0,0.0
2020-08-18,277.9700012207031,26.25,267.2165008544922,22.049687576293945,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63690.31245205844,58856.50425578248,122546.81670784092,100000.0,0.0
2020-08-19,276.1000061035156,26.0625,267.7750015258789,22.07864591280619,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63261.84688824052,58436.10065395546,121697.94754219598,100000.0,0.0
2020-08-20,279.92999267578125,25.149999618530273,268.8710006713867,22.101875082651773,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64139.39856793098,56390.13560308399,120529.53417101497,100000.0,0.0
2020-08-21,281.8699951171875,25.700000762939453,270.1865005493164,22.131354252497356,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64583.90466969847,57623.32206771653,122207.22673741501,100000.0,0.0
2020-08-24,283.6300048828125,25.774999618530273,271.3620010375977,22.164166752497355,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64987.16966735672,57791.48094250738,122778.6506098641,100000.0,0.0
2020-08-25,285.8599853515625,25.975000381469727,272.8145004272461,22.196041758855184,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65498.11743939313,58239.9131617495,123738.03060114263,100000.0,0.0
2020-08-26,291.9599914550781,26.075000762939453,274.4240005493164,22.227500104904173,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66895.79090410598,58464.12927137056,125359.92017547654,100000.0,0.0
2020-08-27,291.04998779296875,26.137500762939453,275.91999969482424,22.257395950953164,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,66687.2848879253,58604.263805312905,125291.5486932382,100000.0,0.0
2020-08-28,292.5299987792969,25.875,277.25699920654296,22.28895845413208,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67026.3947261732,58015.69705212844,125042.09177830163,100000.0,0.0
2020-08-31,294.8800048828125,25.450000762939453,278.531999206543,22.32218763033549,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,67564.8435600037,57062.78393194717,124627.62749195087,100000.0,0.0
2020-09-01,299.9200134277344,25.837499618530273,280.0089996337891,22.35770845413208,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,68719.64342177818,57931.61547644972,126651.2588982279,100000.0,0.0
2020-09-02,302.760009765625,25.75,281.59450073242186,22.394583447774252,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,69370.36203647984,57735.42798424376,127105.7900207236,100000.0,0.0
2020-09-03,287.4100036621094,25.825000762939453,282.23300018310545,22.438645950953166,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,65853.26781559059,57903.59113560121,123756.8589511918,100000.0,0.0
2020-09-04,283.5799865722656,25.637500762939453,282.83849945068357,22.483541790644328,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,64975.709143512184,57483.18753377419,122458.89667728636,100000.0,0.0
2020-09-08,269.95001220703125,25.75,282.8205001831055,22.594479290644326,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61852.719892071094,57735.42798424376,119588.14787631485,100000.0,0.0
2020-09-09,277.8800048828125,25.575000762939453,283.45500030517576,22.65593762397766,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63669.69190000382,57343.052999831845,121012.74489983567,100000.0,0.0
2020-09-10,272.3399963378906,25.799999237060547,283.4790008544922,22.728125111262003,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62400.328754111695,57847.533900771,120247.86265488269,100000.0,0.0
2020-09-11,270.45001220703125,25.8125,283.3775009155273,22.789062611262004,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61967.283176188736,57875.5625181861,119842.84569437485,100000.0,0.0
2020-09-14,275.1600036621094,26.137500762939453,283.52750091552736,22.859375111262004,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63046.467354708315,58604.263805312905,121650.73116002121,100000.0,0.0
2020-09-15,279.05999755859375,26.237499237060547,283.7145004272461,22.92333343823751,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63940.05957234835,58828.475638367374,122768.53521071572,100000.0,0.0
2020-09-16,274.6099853515625,26.637500762939453,283.54649963378904,22.98520844777425,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62920.44354674614,59725.340076851615,122645.78362359776,100000.0,0.0
2020-09-17,270.32000732421875,26.350000381469727,283.2574996948242,23.043958457310996,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61937.495603536074,59080.72036540354,121018.21596893962,100000.0,0.0
2020-09-18,266.8699951171875,26.325000762939453,282.60449981689453,23.103750133514403,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61147.00614616916,59024.66740713992,120171.67355330908,100000.0,0.0
2020-09-21,267.510009765625,26.112499237060547,281.8865005493164,23.163333463668824,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,61293.65050618596,58548.2065704827,119841.85707666865,100000.0,0.0
2020-09-22,272.4800109863281,25.774999618530273,281.32900085449216,23.219479290644326,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62432.40983001085,57791.48094250738,120223.89077251824,100000.0,0.0
2020-09-23,264.1600036621094,25.737499237060547,280.2440017700195,23.27583344777425,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60526.07510412015,57707.399366828664,118233.47447094881,100000.0,0.0
2020-09-24,265.3900146484375,25.112499237060547,278.9155029296875,23.324583435058592,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,60807.90330030921,56306.05402740527,117113.95732771448,100000.0,0.0
2020-09-25,271.55999755859375,25.162500381469727,277.9410034179688,23.37072927157084,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,62221.61031058369,56418.16422049909,118639.77453108277,100000.0,0.0
2020-09-28,277.20001220703125,25.575000762939453,277.1745040893555,23.418020947774252,,True,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63513.88751177693,57343.052999831845,120856.94051160877,100000.0,0.0
2020-09-29,275.95001220703125,25.637500762939453,276.2280044555664,23.466562620798747,,False,True,False,False,True,0.0,100000.0,100000.0,0.0,0.0,63227.47930148282,57483.18753377419,120710.666835257,100000.0,0.0
