Date,GLD,QQQ,TLT,UUP
2018-04-27,125.5,154.07762145996094,95.5130844116211,20.09359359741211
2018-04-30,124.58999633789062,152.9844512939453,95.68183898925781,20.177209854125977
2018-05-01,123.70999908447266,154.73350524902344,95.33721923828125,20.311002731323242
2018-05-02,123.6500015258789,153.82102966308594,95.23253631591797,20.402982711791992
2018-05-03,124.27999877929688,153.80197143554688,95.65929412841797,20.319364547729492
2018-05-04,124.54000091552734,156.72019958496094,95.8041763305664,20.344451904296875
2018-05-07,124.56999969482422,158.02247619628906,95.65119934082031,20.386259078979492
2018-05-08,124.58999633789062,157.86087036132812,95.56268310546875,20.46151351928711
2018-05-09,124.33000183105469,159.58140563964844,94.99100494384766,20.46151351928711
2018-05-10,125.18000030517578,161.2353973388672,95.75590515136719,20.369535446166992
2018-05-11,125.0,161.08334350585938,95.9974594116211,20.336088180541992
2018-05-14,124.48999786376953,161.35894775390625,95.49024200439453,20.361173629760742
2018-05-15,122.4800033569336,159.5719451904297,94.40325927734375,20.486600875854492
2018-05-16,122.29000091552734,160.6270294189453,94.04092407226562,20.536771774291992
2018-05-17,122.36000061035156,160.00914001464844,93.56588745117188,20.561859130859375
2018-05-18,122.41000366210938,159.18215942382812,94.37104034423828,20.603668212890625
2018-05-21,122.4800033569336,160.07571411132812,94.41937255859375,20.586944580078125
2018-05-22,122.41000366210938,159.86656188964844,94.2743911743164,20.578582763671875
2018-05-23,122.54000091552734,161.21636962890625,94.95879364013672,20.662200927734375
2018-05-24,123.58999633789062,161.16888427734375,95.71562194824219,20.637115478515625
2018-05-25,123.20999908447266,161.3304901123047,96.31144714355469,20.737455368041992
2018-05-29,123.19000244140625,160.6175537109375,98.4209213256836,20.87961196899414
2018-05-30,123.37000274658203,161.7677001953125,97.76070404052734,20.720733642578125
2018-05-31,123.0999984741211,161.66317749023438,97.59967803955078,20.704010009765625
2018-06-01,122.48999786376953,164.20120239257812,97.08399200439453,20.737455368041992
2018-06-04,122.37000274658203,165.68408203125,96.38189697265625,20.720733642578125
2018-06-05,122.8499984741211,166.19732666015625,96.60782623291016,20.695648193359375
2018-06-06,122.91999816894531,167.1669464111328,95.82502746582031,20.637115478515625
2018-06-07,122.86000061035156,165.8076171875,96.75315856933594,20.595306396484375
